Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Strength Training,2023-05-25 12:08:59,FALSE,Strength,"0,00",82,00:25:44,78,122,"0,1",--,--,--,--,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,4,1,0:00,"28,0",0:00,No,25:43.87,1,"30,0",--,--,--,00:25:44,00:25:44,--,--
Running,2023-05-24 12:09:02,FALSE,Hammersmith and Fulham Running,"6,14",407,00:28:43,144,158,"3,2",168,189,4:40,4:09,12,15,"1,27","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,0,--,0:00,"25,0",0:00,No,00:44.68,7,"29,0",--,--,--,00:28:24,00:29:42,7,15
Cycling,2023-05-23 19:12:34,FALSE,Camden Cycling,"32,01",726,00:55:04,157,182,"3,7",--,--,"34,9","48,9",88,71,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,0,--,0:00,"16,0",0:00,No,04:13.21,7,"23,0",36,17,48,00:54:48,01:00:41,35,56
Pool Swimming,2023-05-22 18:23:30,FALSE,Pool Swimming,4.300,833,01:18:51,146,180,"3,7",--,--,1:24,0:56,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",1638,31,29,0,--,0:00,"0,0",0:00,No,00:06.20,80,"0,0",--,--,--,01:01:18,01:38:08,--,--
Strength Training,2023-05-22 12:13:32,FALSE,Strength,"0,00",136,00:25:18,98,123,"0,4",--,--,--,--,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,4,1,0:00,"29,0",0:00,No,25:17.63,1,"31,0",--,--,--,00:25:18,00:25:18,--,--
Running,2023-05-21 15:02:49,FALSE,Brent Running,"10,02",616,00:45:10,147,175,"3,4",168,194,4:31,3:36,54,48,"1,30","7,8","10,5",248,"50,9% L / 49,1% R","0,0",0,0,"0,0","0,0",--,0,0,0,--,0:00,"22,0",0:00,No,00:04.75,11,"27,0",26,11,43,00:45:07,00:46:36,29,46
Running,2023-05-19 12:19:10,FALSE,Hammersmith and Fulham Running,"7,93",500,00:35:21,144,162,"3,5",168,186,4:27,3:22,34,31,"1,33","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,0,--,0:00,"21,0",0:00,No,04:09.11,8,"29,0",--,--,--,00:35:17,00:36:12,9,30
Pool Swimming,2023-05-17 17:54:33,FALSE,Pool Swimming,3.600,732,01:04:30,146,170,"3,6",--,--,1:25,1:03,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",1470,31,29,0,--,0:00,"0,0",0:00,No,00:05.84,54,"0,0",--,--,--,00:50:42,02:00:40,--,--
Running,2023-05-17 12:31:32,FALSE,Camden Running,"6,16",375,00:28:50,143,175,"3,0",170,191,4:41,4:05,40,39,"1,24","7,9","10,1",254,"51,2% L / 48,8% R","0,0",0,0,"0,0","0,0",--,0,0,0,--,0:00,"20,0",0:00,No,00:43.15,7,"24,0",30,15,41,00:28:44,00:28:50,34,58
Open Water Swimming,2023-05-13 06:11:54,FALSE,Tinghir Open Water Swimming,0.176,31,"00:08:19,4",135,148,"1,8",--,--,4:43,1:26,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",187,97,22,0,--,0:00,"23,0",0:00,No,08:19.35,1,"31,0",--,--,--,00:03:01,"00:08:19,4",--,--
