,index,timestamp,event,event_type,sport,sub_sport,max_heart_rate,start_time,message_index,start_position_lat,start_position_long,total_elapsed_time,total_timer_time,total_distance,total_cycles,nec_lat,nec_long,swc_lat,swc_long,avg_left_power_phase,avg_left_power_phase_peak,avg_right_power_phase,avg_right_power_phase_peak,avg_power_position,max_power_position,total_calories,total_ascent,total_descent,first_lap_index,num_laps,avg_stroke_distance,pool_length,num_active_lengths,avg_heart_rate,avg_cadence,total_training_effect,trigger,pool_length_unit,avg_temperature,max_temperature,avg_fractional_cadence,max_fractional_cadence,avg_cadence_position,max_cadence_position,total_anaerobic_training_effect,file,total_strides,avg_running_cadence,max_running_cadence,elapsed_time
0,10774,2023-06-28 14:07:41,lap,stop,training,strength_training,117.0,2023-06-28 11:20:08,0.0,,,1252.206,1252.206,0.0,10.0,,,,,"(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None)","(None, None)",66.0,,,0.0,1.0,,,,75.0,,0.1,activity_end,,30.0,31.0,,,"(None, None)","(None, None)",0.0,training_2023-06-28-12-20-08.fit,,,,593001.0
1,8752,2023-06-26 19:40:19,lap,stop,cycling,road,182.0,2023-06-26 17:56:33,0.0,614853407.0,-2285024.0,5995.11,5647.131,50771.42,,614860484.0,-1739141.0,614700311.0,-2294914.0,"(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None)","(None, None)",1097.0,197.0,178.0,0.0,33.0,,,,147.0,,3.7,activity_end,,22.0,27.0,,,"(None, None)","(None, None)",3.1,cycling_2023-06-26-18-56-33.fit,,,,440159.0
2,11325,2023-06-25 18:34:46,lap,stop,swimming,lap_swimming,160.0,2023-06-25 16:32:00,0.0,,,7364.921,3655.457,3600.0,1502.0,,,,,"(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None)","(None, None)",767.0,,,0.0,24.0,0.0,25.0,144.0,132.0,29.0,2.5,activity_end,metric,,,,,"(None, None)","(None, None)",0.0,swimming_2023-06-25-17-32-00.fit,,,,349826.0
3,9594,2023-06-28 17:35:40,lap,stop,swimming,lap_swimming,173.0,2023-06-28 16:15:31,0.0,,,4807.001,4427.618,3800.0,1382.0,,,,,"(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None)","(None, None)",831.0,,,0.0,46.0,0.0,25.0,152.0,137.0,29.0,3.2,activity_end,metric,,,,,"(None, None)","(None, None)",0.4,swimming_2023-06-28-17-15-32.fit,,,,605480.0
4,6691,2023-06-22 12:37:39,lap,stop,training,strength_training,164.0,2023-06-22 11:11:17,0.0,,,3312.188,3312.188,0.0,33.0,,,,,"(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None)","(None, None)",400.0,,,0.0,1.0,,,,119.0,,2.3,activity_end,,29.0,30.0,,,"(None, None)","(None, None)",0.1,training_2023-06-22-12-11-17.fit,,,,69199.0
5,10338,2023-06-21 18:53:20,lap,stop,swimming,lap_swimming,170.0,2023-06-21 17:24:19,0.0,,,5339.311,4557.841,4000.0,1523.0,,,,,"(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None)","(None, None)",883.0,,,0.0,78.0,0.0,25.0,160.0,136.0,29.0,3.2,activity_end,metric,,,,,"(None, None)","(None, None)",0.1,swimming_2023-06-21-18-24-20.fit,,,,5340.0
6,2758,2023-06-23 12:16:09,lap,stop,running,generic,159.0,2023-06-23 11:56:43,0.0,614874284.0,-2328392.0,946.871,942.401,3540.01,,614875864.0,-2326293.0,614826375.0,-2519972.0,"(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None)","(None, None)",224.0,21.0,14.0,0.0,5.0,,,,141.0,,2.7,activity_end,,29.0,30.0,0.0078125,0.0,"(None, None)","(None, None)",0.7,running_2023-06-23-12-56-43.fit,1289.0,81.0,93.0,154309.0
7,3050,2023-06-26 11:41:29,lap,stop,training,strength_training,110.0,2023-06-26 11:06:57,0.0,,,1882.62,1882.62,0.0,4.0,,,,,"(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None)","(None, None)",84.0,,,0.0,1.0,,,,71.0,,0.1,activity_end,,27.0,28.0,,,"(None, None)","(None, None)",0.0,training_2023-06-26-12-06-57.fit,,,,411429.0
8,12399,2023-06-23 17:41:16,lap,stop,swimming,lap_swimming,146.0,2023-06-23 15:46:37,0.0,,,6877.6,5155.901,2350.0,561.0,,,,,"(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None)","(None, None)",686.0,,,0.0,73.0,0.0,25.0,94.0,104.0,25.0,1.4,activity_end,metric,,,,,"(None, None)","(None, None)",0.0,swimming_2023-06-23-16-46-38.fit,,,,173816.0
9,2587,2023-06-27 11:39:02,lap,stop,training,strength_training,124.0,2023-06-27 11:08:51,0.0,,,1406.08,1406.08,0.0,12.0,,,,,"(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None)","(None, None)",108.0,,,0.0,1.0,,,,90.0,,0.2,activity_end,,28.0,29.0,,,"(None, None)","(None, None)",0.0,training_2023-06-27-12-08-51.fit,,,,497682.0
